Grid_size,zeta,beta,Updates,Run Time
8,0.5,1,100000,34.9692254262045
32,0.5,1,100000,598.6701785521582
16,0.5,1,100000,150.3355025285855
64,0.5,1,100000,2492.3244307087734
128,0.5,1,100000,10449.211162120104
